IBM875  fail: IBM875
IBM880  fail: IBM880
IBM891  fail: IBM891
IBM901  ok: IBM901
IBM-901  ok: IBM-901
IBM902  ok: IBM902
IBM-902  ok: IBM-902
IBM903  fail: IBM903
IBM9030  ok: IBM9030
IBM-9030  ok: IBM-9030
IBM904  fail: IBM904
IBM905  fail: IBM905
IBM9066  fail: IBM9066
IBM-9066  fail: IBM-9066
IBM912  ok: IBM912
IBM915  ok: IBM915
IBM916  fail: IBM916
IBM918  fail: IBM918
IBM920  ok: IBM920
IBM921  ok: IBM921
IBM-921  ok: IBM-921
IBM922  ok: IBM922
IBM-922  ok: IBM-922
IBM930  fail: IBM930
IBM-930  fail: IBM-930
IBM932  fail: IBM932
IBM-932  fail: IBM-932
IBM933  fail: IBM933
IBM-933  fail: IBM-933
IBM935  fail: IBM935
IBM-935  fail: IBM-935
IBM937  fail: IBM937
IBM-937  fail: IBM-937
IBM939  fail: IBM939
IBM-939  fail: IBM-939
IBM943  fail: IBM943
IBM-943  fail: IBM-943
IBM9448  ok: IBM9448
IBM-9448  ok: IBM-9448
IEC_P271  ok: IEC_P271
IEC_P27-1  ok: IEC_P27-1
INIS  fail: INIS
INIS8  fail: INIS8
INIS-8  fail: INIS-8
INISCYRILLIC  fail: INISCYRILLIC
INIS-CYRILLIC  fail: INIS-CYRILLIC
ISIRI3342  fail: ISIRI3342
ISIRI-3342  fail: ISIRI-3342
ISO_10367BOX  fail: ISO_10367BOX
ISO_10367-BOX  fail: ISO_10367-BOX
ISO-10646  fail: ISO-10646
ISO-10646/UCS2/  fail: ISO-10646/UCS2/
ISO-10646/UCS4/  fail: ISO-10646/UCS4/
ISO-10646/UTF-8/  fail: ISO-10646/UTF-8/
ISO-10646/UTF8/  fail: ISO-10646/UTF8/
ISO_11548-1  ok: ISO_11548-1
ISO11548-1  ok: ISO11548-1
ISO2022CN  fail: ISO2022CN
ISO-2022-CN  fail: ISO-2022-CN
ISO2022CNEXT  fail: ISO2022CNEXT
ISO-2022-CN-EXT  fail: ISO-2022-CN-EXT
ISO2022JP  fail: ISO2022JP
ISO-2022-JP  fail: ISO-2022-JP
ISO2022JP2  fail: ISO2022JP2
ISO-2022-JP-2  fail: ISO-2022-JP-2
ISO-2022-JP-3  fail: ISO-2022-JP-3
ISO2022KR  fail: ISO2022KR
ISO-2022-KR  fail: ISO-2022-KR
ISO_2033  fail: ISO_2033
ISO_2033-1983  fail: ISO_2033-1983
ISO_5427  fail: ISO_5427
ISO_5427:1981  fail: ISO_5427:1981
ISO_5427EXT  fail: ISO_5427EXT
ISO_5427-EXT  fail: ISO_5427-EXT
ISO_5428  fail: ISO_5428
ISO_5428:1980  fail: ISO_5428:1980
ISO646-CA  fail: ISO646-CA
ISO646-CA2  fail: ISO646-CA2
ISO646-CN  fail: ISO646-CN
ISO646-CU  fail: ISO646-CU
ISO646-DE  fail: ISO646-DE
ISO646-DK  fail: ISO646-DK
ISO646-ES  fail: ISO646-ES
ISO646-ES2  fail: ISO646-ES2
ISO646-FI  fail: ISO646-FI
ISO646-FR  fail: ISO646-FR
ISO646-FR1  fail: ISO646-FR1
ISO646-GB  fail: ISO646-GB
ISO646-HU  fail: ISO646-HU
ISO_646.IRV:1991  fail: ISO_646.IRV:1991
ISO646-IT  fail: ISO646-IT
ISO646-JP  fail: ISO646-JP
ISO646-JP-OCR-B  fail: ISO646-JP-OCR-B
ISO646-KR  fail: ISO646-KR
ISO646-NO  fail: ISO646-NO
ISO646-NO2  fail: ISO646-NO2
ISO646-PT  fail: ISO646-PT
ISO646-PT2  fail: ISO646-PT2
ISO646-SE  fail: ISO646-SE
ISO646-SE2  fail: ISO646-SE2
ISO646-US  fail: ISO646-US
ISO646-YU  fail: ISO646-YU
ISO6937  fail: ISO6937
ISO_6937  fail: ISO_6937
ISO_6937:1992  fail: ISO_6937:1992
ISO_69372  fail: ISO_69372
ISO_6937-2  fail: ISO_6937-2
